kode_rumpun,nama_rumpun,semester,sks,proyek_pengikat,moda,mata_kuliah,kode_cpl,catatan_status
R1,Literasi & Wirausaha Digital,1,6,Portofolio digital profesional + rencana usaha berbasis teknologi,Ritme mingguan,Literasi Digital (3) | Kewirausahaan (3),"CPL02, CPL03, CPL04, CPL08, CPL11",
R11,Produk & Mutu,5,10,Produk perangkat lunak utuh di tempat kerja mahasiswa + suite pengujian,Tempat kerja,Proyek Perangkat Lunak 1 (4) | Pemrograman Web (3) | Pengujian PL (3),"CPL05, CPL06, CPL07, CPL09, CPL10",
